record_type,id,query_or_source,status,quality,directness,verification_or_reason,url
source,X1,"Dutta; Parvin; Saha; Chakraborty (2026), Electrical Current Signature-Based Machine Learning Models for Streetlight Fault Prediction",excluded,C,L3,Excluded: simulated current-signature features were added because high-resolution current data were absent.,https://doi.org/10.31449/inf.v50i2.8972
source,X2,"Kumar et al. (2025), Predictive Analysis of Street Light Operations",excluded,C,L3,"Excluded: abstract reports classifiers but dataset provenance, field-label protocol, and leakage controls are insufficient.",https://doi.org/10.48047/IJCNIS.17.3.391-402
source,X3,"Emadaleslami; Haghifam; Zangiabadi (2023), A two stage approach to electricity theft detection in AMI using deep learning",excluded,B,L2,"Excluded: synthetic malicious-data generation is central, full method access unavailable, and theft outcome differs.",https://www.sciencedirect.com/science/article/abs/pii/S014206152300145X
source,X4,"Kabir et al. (2022), Detecting Nontechnical Losses in Smart Meters Using a MLP-GRU Deep Model and Augmenting Data via Theft Attacks",excluded,B,L2,Excluded: attack augmentation and unavailable field-outcome provenance make it unsuitable as no-Gold-label support.,https://doi.org/10.3390/su142215001
source,X5,Generic IoT streetlight prototype papers,excluded,C,L0,"Excluded: no recoverable target labels, field validation, or leakage-safe evaluation.",
registry,C01,"IoT-based Efficient Streetlight Controlling, Monitoring and Real-time Error Detection System for Smart Cities in Bangladesh (2023)",included,A,L3,independently reconciled in v12r literature evidence matrix,https://ieeexplore.ieee.org/document/10101600
registry,C02,On the Way: Automated fault detection and diagnostics for LED street lighting systems (2023),included,B,L3,independently reconciled in v12r literature evidence matrix,https://www.energy.gov/eere/ssl/articles/way-automated-fault-detection-and-diagnostics-led-streetlighting-systems
registry,C03,A Low-Cost and Noninvasive System for the Measurement and Detection of Faulty Streetlights (2015),included,A,L3,independently reconciled in v12r literature evidence matrix,https://doi.org/10.1109/TIM.2014.2361551
registry,C04,Detection of Anomalies in the Operation of a Road Lighting System Based on Data from Smart Electricity Meters (2022),included,A,L3,independently reconciled in v12r literature evidence matrix,https://doi.org/10.3390/en15249438
registry,C05,Anomaly detection in urban lighting systems using autoencoder and transformer algorithms (2025),included,A,L3,independently reconciled in v12r literature evidence matrix,https://doi.org/10.1038/s41598-025-19414-8
registry,C06,Automation System Design for Fault Detection in Street Lighting (2017),included,B,L3,independently reconciled in v12r literature evidence matrix,https://dergipark.org.tr/en/pub/epstem/article/364353
registry,C07,An Energy-Fraud Detection-System Capable of Distinguishing Frauds from Other Energy Flow Anomalies in an Urban Environment (2021),included,A,L2,independently reconciled in v12r literature evidence matrix,https://doi.org/10.3390/su131910696
registry,C08,Detection of Non-Technical Losses Using Smart Meter Data and Supervised Learning (2019),included,A,L2,independently reconciled in v12r literature evidence matrix,https://doi.org/10.1109/TSG.2018.2807925
registry,C09,Electricity Theft Detection in AMI Using Customers' Consumption Patterns (2016),included,A,L2,independently reconciled in v12r literature evidence matrix,https://doi.org/10.1109/TSG.2015.2425222
registry,C10,Entropy-based electricity theft detection in AMI network (2018),included,A,L2,independently reconciled in v12r literature evidence matrix,https://doi.org/10.1049/iet-cps.2017.0063
registry,C11,Detection of non-technical losses in smart meter data based on load curve profiling and time series analysis (2017),included,A,L2,independently reconciled in v12r literature evidence matrix,https://doi.org/10.1016/j.energy.2017.07.008
registry,C12,Automated load pattern learning and anomaly detection for enhancing energy management in smart buildings (2018),included,A,L2,independently reconciled in v12r literature evidence matrix,https://doi.org/10.1016/j.energy.2018.05.127
registry,C13,A Cluster-Based Method for Calculating Baselines for Residential Loads (2016),included,A,L2,independently reconciled in v12r literature evidence matrix,https://doi.org/10.1109/TSG.2015.2463755
registry,C14,CUSUM Control Charts (n.d.),included,A,L1,independently reconciled in v12r literature evidence matrix,https://www.itl.nist.gov/div898/handbook/pmc/section3/pmc323.htm
registry,C15,NIST/SEMATECH Engineering Statistics Handbook: Measurement Process Characterization (2003),included,A,L1,independently reconciled in v12r literature evidence matrix,https://www.itl.nist.gov/div898/handbook/mpc/mpc.htm
registry,C16,Reliable stator fault detection based on the induction motor negative sequence current compensation (2018),included,A,L2,independently reconciled in v12r literature evidence matrix,https://doi.org/10.1016/j.ijepes.2017.09.008
registry,C17,Contributions to the online fault diagnosis of interturn short circuit in three-phase induction motor by means of negative sequence components (2016),included,A,L2,independently reconciled in v12r literature evidence matrix,https://doi.org/10.15446/dyna.v83n198.50378
registry,C18,IEEE Recommended Practice for Monitoring Electric Power Quality (2019),included,A,L2,independently reconciled in v12r literature evidence matrix,https://standards.ieee.org/ieee/1159/6124/
registry,C19,Electrical Current Signature-Based Machine Learning Models for Streetlight Fault Prediction in Smart City Infrastructure (2026),included,A,L0,independently reconciled in v12r literature evidence matrix,https://doi.org/10.31449/inf.v50i2.8972
registry,C20,TimeSeriesBench: An Industrial-Grade Benchmark for Time Series Anomaly Detection Models (2024),included,A,L1,independently reconciled in v12r literature evidence matrix,https://doi.org/10.1109/ISSRE62328.2024.00017
registry,C21,Current Time Series Anomaly Detection Benchmarks are Flawed and are Creating the Illusion of Progress (2023),included,A,L1,independently reconciled in v12r literature evidence matrix,https://doi.org/10.1109/TKDE.2021.3112126
